p_nr,p_name_keyword,p_name_proper,p_text,p_brand,p_cluster{0},p_comp[leg length],p_comp[compostion],p_comp[material],p_comp[care instructions],p_comp[producttype],p_tag[agegroup]{0},p_tag[gender]{0},p_tag[season]{0},p_tag[sizegrid]{0},p_tag[style]{0},p_bullet{0},p_bullet{1},p_bullet{2},p_bullet{3},p_bullet{4},a_nr,a_prodnr,a_ean,a_comp[color],a_comp[size],a_vk[zafn],a_vk_old[zafn],a_active[zafn],a_active,image_link,image_link,image_link,image_link
6562,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"56% Nylon, 36% Polyester, 8% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_ORG_6563,8720726049085,8720726049085,Orange,S,"57,00","67,00",1,1,,,,
6553,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"54% Nylon, 34% Polyester, 12% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_PI_6553,8720726049238,8720726049238,Ombre Pink,M,"57,00","67,00",1,1,,,,
6553,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"54% Nylon, 34% Polyester, 12% Elastane","Nylon, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_PI_6554,8720726049047,8720726049047,Ombre Pink,S,"57,00","67,00",1,1,,,,
6533,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"58% Polyamide, 36% Polyester, 6% Elastane","Polyamide, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_GRY_6533,8720726049252,8720726049252,Grey,M,"57,00","67,00",1,1,,,,
6533,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"58% Polyamide, 36% Polyester, 6% Elastane","Polyamide, Polyester","30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_GRY_6534,8720726049078,8720726049078,Grey,S,"57,00","67,00",1,1,,,,
6522,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyester, 8% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_BLK_6522,8720726049269,8720726049269,Zebra print,M,"57,00","67,00",1,1,,,,
6522,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyester, 8% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_BLK_6523,8720726049108,8720726049108,Zebra print,S,"57,00","67,00",1,1,,,,
6511,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyamide, 8% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_LGRY_6511,8720726049276,8720726049276,Light Grey,M,"57,00","67,00",1,1,,,,
6511,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"92% Polyamide, 8% Elastane",Polyamide,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [S-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_XS_LGRY_6513,8720726049061,8720726049061,Light Grey,XS,"57,00","67,00",1,1,,,,
6484,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"95% Nylon, 5% Spandex",Nylon,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [XS-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_MD_BL_6484,8720726049283,8720726049283,Blue,M,"57,00","67,00",1,1,,,,
6484,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"95% Nylon, 5% Spandex",Nylon,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [XS-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_BL_6485,8720726049092,8720726049092,Blue,S,"57,00","67,00",1,1,,,,
6484,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"95% Nylon, 5% Spandex",Nylon,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [XS-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_XS_BL_6486,8720726049290,8720726049290,Blue,XS,"57,00","67,00",1,1,,,,
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_YLLW_6386,8720726049177,8720726049177,Yellow,S,"47,99","47,99",1,1,,,,
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_YLLW_6387,8720726049337,8720726049337,Yellow,M,"47,99","47,99",1,1,,,,
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_YLLW_6391,8720726049344,8720726049344,Yellow,L,"47,99","47,99",1,1,,,,
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_YLLW_6395,8720726049351,8720726049351,Yellow,XL,"47,99","47,99",1,1,,,,
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_RD_6405,8720726049146,8720726049146,Red,S,"47,99","47,99",1,1,,,,
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_RD_6404,8720726049368,8720726049368,Red,M,"47,99","47,99",1,1,,,,
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_RD_6403,8720726049375,8720726049375,Red,L,"47,99","47,99",1,1,,,,
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_RD_6402,8720726049382,8720726049382,Red,XL,"47,99","47,99",1,1,,,,
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_LB_6417,8720726049139,8720726049139,Light Blue,S,"47,99","47,99",1,1,,,,
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_LB_6416,8720726049399,8720726049399,Light Blue,M,"47,99","47,99",1,1,,,,
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_LB_6415,8720726049405,8720726049405,Light Blue,L,"47,99","47,99",1,1,,,,
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_LB_6414,8720726049412,8720726049412,Light Blue,XL,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_RD_6425,8720726049122,8720726049122,Black,S,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_BLK_6424,8720726049429,8720726049429,Black,M,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_BLK_6423,8720726049436,8720726049436,Black,L,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_BLK_6422,8720726049443,8720726049443,Black,XL,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_PI_6431,8720726049153,8720726049153,Pink,S,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_PI_6430,8720726049450,8720726049450,Pink,M,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_PI_6429,8720726049467,8720726049467,Pink,L,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_PI_6428,8720726049474,8720726049474,Pink,XL,"47,99","47,99",1,1,,,,
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton,47.3% Modal 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_WHT_6366,8720726049160,8720726049160,White,S,"47,99","47,99",1,1,,,,
